Distance,SEM_norm,I_raw,abs_I,ln_abs_I,deriv_ln_I
0.000000e+00,1.000000e+00,1.001821e+01,1.001821e+01,2.304405e+00,2.638810e+00
9.841506e-02,6.504089e-01,2.252050e+01,2.252050e+01,3.114426e+00,1.933860e+00
1.968301e-01,5.181906e-01,2.944707e+01,2.944707e+01,3.382594e+00,1.469393e+00
2.952452e-01,4.584397e-01,3.105084e+01,3.105084e+01,3.435626e+00,1.163688e+00
3.936602e-01,4.234156e-01,3.125870e+01,3.125870e+01,3.442298e+00,9.477088e-01
4.920753e-01,3.703003e-01,3.085571e+01,3.085571e+01,3.429322e+00,2.432671e-01
5.904903e-01,3.535028e-01,3.070023e+01,3.070023e+01,3.424270e+00,3.318096e-02
6.889054e-01,3.567903e-01,3.107493e+01,3.107493e+01,3.436401e+00,5.679702e-06
7.873204e-01,3.392836e-01,3.127107e+01,3.127107e+01,3.442694e+00,-1.874832e-03
8.857355e-01,3.155949e-01,3.095665e+01,3.095665e+01,3.432588e+00,-4.663068e-03
9.841506e-01,3.098020e-01,3.093499e+01,3.093499e+01,3.431888e+00,-1.229260e-02
1.082566e+00,2.685693e-01,3.109985e+01,3.109985e+01,3.437203e+00,-3.067572e-02
1.180981e+00,3.024376e-01,3.090024e+01,3.090024e+01,3.430764e+00,-3.914176e-02
1.279396e+00,2.727824e-01,3.056540e+01,3.056540e+01,3.419869e+00,-3.973142e-02
1.377811e+00,2.780209e-01,3.067152e+01,3.067152e+01,3.423334e+00,-4.758568e-02
1.476226e+00,3.035276e-01,3.033424e+01,3.033424e+01,3.412277e+00,-4.264471e-02
1.574641e+00,2.768852e-01,3.022758e+01,3.022758e+01,3.408755e+00,-3.302062e-02
1.673056e+00,2.963302e-01,3.013253e+01,3.013253e+01,3.405605e+00,-2.425669e-02
1.771471e+00,2.949949e-01,2.991144e+01,2.991144e+01,3.398241e+00,-1.458574e-02
1.869886e+00,2.954304e-01,3.024764e+01,3.024764e+01,3.409418e+00,1.117211e-02
1.968301e+00,3.090604e-01,3.008631e+01,3.008631e+01,3.404070e+00,2.442076e-02
2.066716e+00,2.939629e-01,3.004109e+01,3.004109e+01,3.402566e+00,2.569467e-02
2.165131e+00,3.029469e-01,3.027962e+01,3.027962e+01,3.410475e+00,1.902791e-02
2.263546e+00,2.985935e-01,3.080084e+01,3.080084e+01,3.427542e+00,4.872486e-04
2.361961e+00,2.826917e-01,3.069037e+01,3.069037e+01,3.423949e+00,-1.219929e-02
2.460376e+00,2.765805e-01,3.037417e+01,3.037417e+01,3.413593e+00,-4.234483e-02
2.558791e+00,2.980784e-01,3.017508e+01,3.017508e+01,3.407017e+00,-6.631806e-02
