Sample Name,IV_curve_XYZH_3L,,
Test Name,New 2T Resistance - Sweep,,
Location Info,,,
Mode,Sweeping,,
Speed,Normal,,
Start Delay,0,s,
Delay Between Measurements,0,s,
Number Of Samples,N/A,,
Precisio version,2.5.0.4,,
Executed,22/05/26 14:48:52,,
Duration,00:00:13,,
Device Terminal,Terminal 1,Terminal 2,
Instrument,Keithley TSP Instrument - SMU master,Keithley TSP Instrument - GNDU,
MiBot,4: miBot 4,3: miBot 3,
Operation Mode,Voltage Sweep,Common,
Start/Bias,-2,0,
Stop,2,N/A,
Step,0.04,N/A,
Number of Points,101,N/A,
Compliance,0.001,1.05,
Measure Current,Measured,N/A,
Measure Voltage,Measured,N/A,
Current Range,Limited Auto (1E-08 A),N/A,
Voltage Range,Auto,N/A,
I1,V1,
I Terminal 1,V Terminal 1,
-2.98799022857565E-06,-1.99995565414429,
-2.88202500087209E-06,-1.95998525619507,
-2.78023617283907E-06,-1.91998338699341,
-2.6739635359263E-06,-1.87997341156006,
-2.57094689004589E-06,-1.83996772766113,
-2.46733179665171E-06,-1.79999971389771,
-2.36880259762984E-06,-1.75998401641846,
-2.26702832151204E-06,-1.71997833251953,
-2.16795706364792E-06,-1.67997121810913,
-2.06985350814648E-06,-1.63999938964844,
-1.97304871107917E-06,-1.59999418258667,
-1.87706064025406E-06,-1.55998468399048,
-1.78389018401504E-06,-1.51997566223145,
-1.69197846844327E-06,-1.47997093200684,
-1.60107083502226E-06,-1.44000053405762,
-1.51455788000021E-06,-1.39998483657837,
-1.4293946151156E-06,-1.35997915267944,
-1.34874244395178E-06,-1.31998252868652,
-1.26899249153212E-06,-1.28000259399414,
-1.19127980724443E-06,-1.23998928070068,
-1.11475310404785E-06,-1.19998931884766,
-1.04165155789815E-06,-1.15998458862305,
-9.68884023677674E-07,-1.11999320983887,
-8.99570750334533E-07,-1.07999229431152,
-8.29939153845771E-07,-1.03998947143555,
-7.63436219131108E-07,-0.999984741210938,
-6.97296854923479E-07,-0.960000514984131,
-6.33388026471948E-07,-0.919998168945313,
-5.7246597862104E-07,-0.879997730255127,
-5.13835630044923E-07,-0.839989185333252,
-4.58226622868096E-07,-0.800005912780762,
-4.0476970752934E-07,-0.760006427764893,
-3.55895053871791E-07,-0.719993591308594,
-3.09409642795799E-07,-0.67998218536377,
-2.66796632786281E-07,-0.639980792999268,
-2.28086037168396E-07,-0.600010395050049,
-1.9313574739499E-07,-0.559998512268066,
-1.6191006579902E-07,-0.519985675811768,
-1.34209585667122E-07,-0.479981422424316,
-1.09909024104127E-07,-0.440006017684937,
-8.92651002004641E-08,-0.399991750717163,
-7.12984871142908E-08,-0.359984874725342,
-5.65057405310654E-08,-0.319975614547729,
-4.44554757450533E-08,-0.279999732971191,
-3.43195267760166E-08,-0.239989042282104,
-2.56374903528922E-08,-0.199990272521973,
-1.99683114487925E-08,-0.15999436378479,
-1.48408361155816E-08,-0.119993448257446,
-1.04700603742458E-08,-0.0799951553344727,
-6.14083717209724E-09,-0.0399909019470215,
1.13803366730281E-09,8.94069671630859E-07,
1.25082522117737E-08,0.0400071144104004,
4.12088070333994E-08,0.0799994468688965,
1.02480036900943E-07,0.119988203048706,
2.12433747037721E-07,0.160007476806641,
3.76787966160919E-07,0.20000696182251,
5.89827777730534E-07,0.239987373352051,
8.48080730975198E-07,0.279985189437866,
1.13474197860342E-06,0.320003032684326,
1.44133991852868E-06,0.360000848770142,
1.76209505298175E-06,0.400003910064697,
2.09189602173865E-06,0.43999981880188,
2.42780333792325E-06,0.479999780654907,
2.76803257293068E-06,0.51999568939209,
3.11046824208461E-06,0.56000018119812,
3.45395164913498E-06,0.600005865097046,
3.79875564249232E-06,0.639999628067017,
4.14315945818089E-06,0.679990530014038,
4.48761238658335E-06,0.720000028610229,
4.83145504404092E-06,0.760001420974731,
5.17439821123844E-06,0.799993991851807,
5.5172067732201E-06,0.839995145797729,
5.85837369726505E-06,0.880004405975342,
6.19895035924856E-06,0.919996976852417,
6.53897313895868E-06,0.959991455078125,
6.87806459609419E-06,0.999999046325684,
7.2161283242167E-06,1.04000067710876,
7.55312430555932E-06,1.07998967170715,
7.88985926192254E-06,1.11998891830444,
8.22589026938658E-06,1.15999412536621,
8.56149290484609E-06,1.19999575614929,
8.8963279267773E-06,1.23998546600342,
9.23049265111331E-06,1.27998852729797,
9.56429903453682E-06,1.31998944282532,
9.89752334135119E-06,1.35999417304993,
1.0230386578769E-05,1.39998054504395,
1.05623184936121E-05,1.44000792503357,
1.08943204395473E-05,1.48000288009644,
1.12255365820602E-05,1.52000164985657,
1.1556941899471E-05,1.55999743938446,
1.1887721484527E-05,1.60000646114349,
1.2217671610415E-05,1.64000308513641,
1.25474471133202E-05,1.68000364303589,
1.28771353047341E-05,1.71999728679657,
1.32058485178277E-05,1.76000094413757,
1.35346926981583E-05,1.80000066757202,
1.38631148729473E-05,1.84000325202942,
1.41907803481445E-05,1.88000762462616,
1.45174417411909E-05,1.92000007629395,
1.48444523802027E-05,1.96000099182129,
1.51709537021816E-05,2.00000214576721,
