Sample Name,IV_curve_4H_3L_shortrange,,
Test Name,New 2T Resistance - Sweep,,
Location Info,,,
Mode,Sweeping,,
Speed,Normal,,
Start Delay,0,s,
Delay Between Measurements,0,s,
Number Of Samples,N/A,,
Precisio version,2.5.0.4,,
Executed,30/04/26 11:16:20,,
Duration,00:00:09,,
Device Terminal,Terminal 1,Terminal 2,
Instrument,Keithley TSP Instrument - SMU master,Keithley TSP Instrument - GNDU,
MiBot,4: miBot 4,3: miBot 3,
Operation Mode,Voltage Sweep,Common,
Start/Bias,-0.06,0,
Stop,0.06,N/A,
Step,0.0024,N/A,
Number of Points,51,N/A,
Compliance,0.001,1.05,
Measure Current,Measured,N/A,
Measure Voltage,Measured,N/A,
Current Range,Limited Auto (1E-08 A),N/A,
Voltage Range,Auto,N/A,
I1,V1,
I Terminal 1,V Terminal 1,
-1.44170371640939E-06,-0.0599997043609619,
-1.38411814987194E-06,-0.0576012134552002,
-1.32645982375834E-06,-0.0551972389221191,
-1.26879058370832E-06,-0.0527982711791992,
-1.21113953355234E-06,-0.0503973960876465,
-1.15352122520562E-06,-0.0479996204376221,
-1.0957974154735E-06,-0.0455965995788574,
-1.03815364127513E-06,-0.0431971549987793,
-9.79596279648831E-07,-0.0407891273498535,
-9.22047775020474E-07,-0.0383894443511963,
-8.64366256791982E-07,-0.0359869003295898,
-8.06766365712974E-07,-0.0335891246795654,
-7.49116452425369E-07,-0.0311896800994873,
-6.91485411152826E-07,-0.0287909507751465,
-6.33888475931599E-07,-0.0263919830322266,
-5.76145112063386E-07,-0.0239887237548828,
-5.18527258464019E-07,-0.0215907096862793,
-4.61403487861389E-07,-0.0191993415355682,
-4.03660578740528E-07,-0.0167995691299438,
-3.46015440300107E-07,-0.014399528503418,
-2.88352111965651E-07,-0.011999636888504,
-2.30707200898905E-07,-0.00959974527359009,
-1.73068883668748E-07,-0.00719955563545227,
-1.15460807137424E-07,-0.00479936599731445,
-5.7753609894462E-08,-0.00239908695220947,
-2.14129158848664E-10,1.01327896118164E-06,
5.72484708527554E-08,0.00239929556846619,
1.14905674308829E-07,0.00480043888092041,
1.72439968082472E-07,0.00720041990280151,
2.29966872211662E-07,0.00960028171539307,
2.87456828118593E-07,0.0120002925395966,
3.44951217812195E-07,0.0144003331661224,
4.02403088628489E-07,0.016800194978714,
4.59868033431121E-07,0.0192002058029175,
5.16943373440881E-07,0.0215983390808105,
5.74293494537415E-07,0.0239968299865723,
6.31696366326651E-07,0.0263967514038086,
6.88980549057305E-07,0.0287942886352539,
7.46347950553172E-07,0.0311954021453857,
8.03597004050971E-07,0.033592700958252,
8.60877548802819E-07,0.0359916687011719,
9.18091132007248E-07,0.0383894443511963,
9.75409079728706E-07,0.0407900810241699,
1.03261163530988E-06,0.0431885719299316,
1.09072971099522E-06,0.0456039905548096,
1.14801514428109E-06,0.0480053424835205,
1.20513504953124E-06,0.0504031181335449,
1.26228042063303E-06,0.0528037548065186,
1.3194094208302E-06,0.0552027225494385,
1.37650204123929E-06,0.0576050281524658,
1.43366742122453E-06,0.0600042343139648,
