Sample Name,IV_curve_afterall,,
Test Name,New 2T Resistance - Sweep,,
Location Info,,,
Mode,Sweeping,,
Speed,Normal,,
Start Delay,0,s,
Delay Between Measurements,0,s,
Number Of Samples,N/A,,
Precisio version,2.5.0.4,,
Executed,13/03/26 18:08:07,,
Duration,00:00:09,,
Device Terminal,Terminal 1,Terminal 2,
Instrument,Keithley TSP Instrument - SMU master,Keithley TSP Instrument - GNDU,
MiBot,4: miBot 4,3: miBot 3,
Operation Mode,Voltage Sweep,Common,
Start/Bias,-0.5,0,
Stop,0.5,N/A,
Step,0.02,N/A,
Number of Points,51,N/A,
Compliance,0.001,1.05,
Measure Current,Measured,N/A,
Measure Voltage,Measured,N/A,
Current Range,Auto,N/A,
Voltage Range,Auto,N/A,
I1,V1,
I Terminal 1,V Terminal 1,
-1.07131199911237E-05,-0.500010013580322,
-1.02696212707087E-05,-0.479985237121582,
-9.82828350970522E-06,-0.45999002456665,
-9.38696939556394E-06,-0.440003871917725,
-8.94958066055551E-06,-0.419978141784668,
-8.5150732047623E-06,-0.399998664855957,
-8.07972537586465E-06,-0.380010843276978,
-7.64573451306205E-06,-0.359988927841187,
-7.21188007446472E-06,-0.340006113052368,
-6.78156357025728E-06,-0.319980621337891,
-6.35216929367743E-06,-0.299988269805908,
-5.92591277381871E-06,-0.280004739761353,
-5.49840842722915E-06,-0.259979009628296,
-5.0702383305179E-06,-0.239993572235107,
-4.64500953967217E-06,-0.219980955123901,
-4.2208339436911E-06,-0.199991226196289,
-3.79704761144239E-06,-0.179994821548462,
-3.37360688718036E-06,-0.159997224807739,
-2.95018435281236E-06,-0.139998435974121,
-2.52812787948642E-06,-0.119997501373291,
-2.10575672099367E-06,-0.0999987125396729,
-1.68422775459476E-06,-0.0799987316131592,
-1.26283157442231E-06,-0.0599982738494873,
-8.41292148834327E-07,-0.0399878025054932,
-4.21224513047491E-07,-0.0199995338916779,
7.56870122131659E-11,8.04662704467773E-07,
4.20973719883477E-07,0.0200008749961853,
8.41046812638524E-07,0.0399932861328125,
1.26317172544077E-06,0.0600059032440186,
1.68459337146487E-06,0.0800042152404785,
2.10601865546778E-06,0.100003719329834,
2.52744757744949E-06,0.120003223419189,
2.95049903797917E-06,0.140001535415649,
3.37297569785733E-06,0.160002470016479,
3.79706943931524E-06,0.18000340461731,
4.22146331402473E-06,0.200003147125244,
4.64664299215656E-06,0.220012187957764,
5.07076765643433E-06,0.239987373352051,
5.4976626415737E-06,0.259999990463257,
5.92562264500884E-06,0.279987812042236,
6.35391461401014E-06,0.300000905990601,
6.78463129588636E-06,0.319992065429688,
7.21596188668627E-06,0.340009689331055,
7.64783362683374E-06,0.359988927841187,
8.08060212875716E-06,0.380006313323975,
8.51586719363695E-06,0.399990320205688,
8.95258017408196E-06,0.419997453689575,
9.39209439820843E-06,0.439985036849976,
9.83321115199942E-06,0.459999799728394,
1.02736021290184E-05,0.479984045028687,
1.07194937299937E-05,0.50002121925354,
