Distance,SEM_norm,I_raw,abs_I,ln_abs_I,deriv_ln_I,Voltage_V,Resistance_Ohm
0.000000e+00,2.033181e-01,-1.116864e+05,1.116864e+05,1.162345e+01,3.542359e-03,-5.951294e+00,5.328576e+04
1.185585e-01,1.277970e-01,-1.121808e+05,1.121808e+05,1.162787e+01,1.907039e-03,-5.954147e+00,5.307633e+04
2.371170e-01,9.696560e-02,-1.121018e+05,1.121018e+05,1.162716e+01,1.598320e-03,-5.955311e+00,5.312412e+04
3.556755e-01,6.799050e-02,-1.120250e+05,1.120250e+05,1.162648e+01,1.537786e-03,-5.956406e+00,5.317034e+04
4.742340e-01,5.770968e-02,-1.119990e+05,1.119990e+05,1.162625e+01,1.183615e-03,-5.956794e+00,5.318613e+04
5.927925e-01,5.522619e-02,-1.119876e+05,1.119876e+05,1.162614e+01,-1.072094e-03,-5.956888e+00,5.319239e+04
7.113509e-01,4.500295e-02,-1.120470e+05,1.120470e+05,1.162667e+01,-6.799699e-04,-5.957274e+00,5.316761e+04
8.299094e-01,3.465599e-02,-1.120791e+05,1.120791e+05,1.162696e+01,-5.139313e-04,-5.957665e+00,5.315587e+04
9.484679e-01,3.097713e-02,-1.120346e+05,1.120346e+05,1.162656e+01,-1.094183e-03,-5.957804e+00,5.317824e+04
1.067026e+00,2.353234e-02,-1.119785e+05,1.119785e+05,1.162606e+01,-2.418881e-03,-5.958085e+00,5.320742e+04
1.185585e+00,1.754173e-02,-1.119606e+05,1.119606e+05,1.162590e+01,-4.129891e-03,-5.958311e+00,5.321794e+04
1.304143e+00,2.480279e-02,-1.119591e+05,1.119591e+05,1.162589e+01,-5.325216e-03,-5.958037e+00,5.321618e+04
1.422702e+00,3.104316e-02,-1.118709e+05,1.118709e+05,1.162510e+01,-5.733495e-03,-5.957801e+00,5.325603e+04
1.541260e+00,2.689221e-02,-1.117168e+05,1.117168e+05,1.162372e+01,-6.025910e-03,-5.957958e+00,5.333089e+04
1.659819e+00,2.517765e-02,-1.115839e+05,1.115839e+05,1.162253e+01,-7.045058e-03,-5.958023e+00,5.339499e+04
1.778377e+00,2.454391e-02,-1.115115e+05,1.115115e+05,1.162188e+01,-7.868380e-03,-5.958047e+00,5.342987e+04
1.896936e+00,2.126845e-02,-1.114941e+05,1.114941e+05,1.162173e+01,-7.689158e-03,-5.958170e+00,5.343932e+04
2.015494e+00,1.777309e-02,-1.114266e+05,1.114266e+05,1.162112e+01,-7.440828e-03,-5.958302e+00,5.347288e+04
2.134053e+00,2.573509e-02,-1.112011e+05,1.112011e+05,1.161910e+01,-7.432066e-03,-5.958002e+00,5.357862e+04
2.252611e+00,2.603023e-02,-1.110685e+05,1.110685e+05,1.161790e+01,-7.698390e-03,-5.957990e+00,5.364251e+04
2.371170e+00,2.531251e-02,-1.110461e+05,1.110461e+05,1.161770e+01,-8.045479e-03,-5.958018e+00,5.365354e+04
2.489728e+00,2.480490e-02,-1.109419e+05,1.109419e+05,1.161676e+01,-8.076352e-03,-5.958037e+00,5.370411e+04
2.608287e+00,2.462527e-02,-1.108545e+05,1.108545e+05,1.161597e+01,-7.688329e-03,-5.958044e+00,5.374650e+04
2.726845e+00,2.553213e-02,-1.107506e+05,1.107506e+05,1.161504e+01,-8.628727e-03,-5.958009e+00,5.379665e+04
2.845404e+00,2.253754e-02,-1.106170e+05,1.106170e+05,1.161383e+01,-1.013419e-02,-5.958122e+00,5.386261e+04
2.963962e+00,1.373898e-02,-1.104782e+05,1.104782e+05,1.161257e+01,-1.096016e-02,-5.958455e+00,5.393332e+04
3.082521e+00,2.071253e-02,-1.103913e+05,1.103913e+05,1.161179e+01,-1.168283e-02,-5.958191e+00,5.397337e+04
3.201079e+00,2.000617e-02,-1.101527e+05,1.101527e+05,1.160962e+01,-1.203019e-02,-5.958218e+00,5.409052e+04
3.319638e+00,1.855539e-02,-1.099457e+05,1.099457e+05,1.160774e+01,-1.172561e-02,-5.958273e+00,5.419285e+04
3.438196e+00,1.688601e-02,-1.098270e+05,1.098270e+05,1.160666e+01,-1.091466e-02,-5.958336e+00,5.425201e+04
3.556755e+00,1.486207e-02,-1.096731e+05,1.096731e+05,1.160526e+01,-9.601389e-03,-5.958412e+00,5.432884e+04
3.675313e+00,1.731668e-02,-1.095390e+05,1.095390e+05,1.160404e+01,-7.544890e-03,-5.958320e+00,5.439450e+04
3.793872e+00,2.498068e-02,-1.094676e+05,1.094676e+05,1.160338e+01,-6.575483e-03,-5.958030e+00,5.442734e+04
3.912430e+00,2.765688e-02,-1.094124e+05,1.094124e+05,1.160288e+01,-5.838364e-03,-5.957929e+00,5.445388e+04
4.030989e+00,2.008772e-02,-1.093824e+05,1.093824e+05,1.160261e+01,-5.335948e-03,-5.958215e+00,5.447142e+04
4.149547e+00,1.692010e-02,-1.093619e+05,1.093619e+05,1.160242e+01,-5.800399e-03,-5.958335e+00,5.448271e+04
4.268106e+00,1.835418e-02,-1.091903e+05,1.091903e+05,1.160085e+01,-6.475664e-03,-5.958280e+00,5.456787e+04
4.386664e+00,2.298682e-02,-1.091624e+05,1.091624e+05,1.160059e+01,-7.208835e-03,-5.958105e+00,5.458022e+04
4.505223e+00,1.922025e-02,-1.090691e+05,1.090691e+05,1.159974e+01,-7.757205e-03,-5.958248e+00,5.462819e+04
4.623781e+00,1.700809e-02,-1.088841e+05,1.088841e+05,1.159804e+01,-8.279724e-03,-5.958331e+00,5.472177e+04
4.742340e+00,1.896729e-02,-1.088133e+05,1.088133e+05,1.159739e+01,-8.748420e-03,-5.958257e+00,5.475671e+04
4.860898e+00,2.308961e-02,-1.087100e+05,1.087100e+05,1.159644e+01,-9.724913e-03,-5.958102e+00,5.480731e+04
4.979457e+00,2.038949e-02,-1.086255e+05,1.086255e+05,1.159566e+01,-9.846331e-03,-5.958204e+00,5.485085e+04
5.098015e+00,1.080646e-02,-1.084719e+05,1.084719e+05,1.159425e+01,-9.246977e-03,-5.958565e+00,5.493190e+04
5.216574e+00,3.054850e-03,-1.082811e+05,1.082811e+05,1.159249e+01,-8.951401e-03,-5.958858e+00,5.503138e+04
5.335132e+00,4.000250e-03,-1.081272e+05,1.081272e+05,1.159106e+01,-8.548464e-03,-5.958823e+00,5.510939e+04
5.453691e+00,8.375740e-03,-1.080617e+05,1.080617e+05,1.159046e+01,-7.910984e-03,-5.958657e+00,5.514124e+04
5.572249e+00,5.003428e-03,-1.080419e+05,1.080419e+05,1.159027e+01,-6.299292e-03,-5.958785e+00,5.515253e+04
5.690808e+00,0.000000e+00,-1.079573e+05,1.079573e+05,1.158949e+01,-4.472720e-03,-5.958974e+00,5.519753e+04
5.809366e+00,1.164108e-03,-1.078350e+05,1.078350e+05,1.158836e+01,-3.244853e-03,-5.958930e+00,5.525969e+04
5.927925e+00,6.418235e-03,-1.077646e+05,1.077646e+05,1.158770e+01,-2.488884e-03,-5.958731e+00,5.529397e+04
6.046483e+00,2.769894e-03,-1.078206e+05,1.078206e+05,1.158822e+01,-2.580142e-03,-5.958869e+00,5.526649e+04
6.165042e+00,1.131834e-02,-1.078522e+05,1.078522e+05,1.158852e+01,-3.047685e-03,-5.958546e+00,5.524734e+04
6.283600e+00,1.556323e-02,-1.078202e+05,1.078202e+05,1.158822e+01,-3.673764e-03,-5.958386e+00,5.526225e+04
6.402158e+00,1.379117e-02,-1.078064e+05,1.078064e+05,1.158809e+01,-5.012434e-03,-5.958453e+00,5.526992e+04
6.520717e+00,1.159851e-02,-1.076457e+05,1.076457e+05,1.158660e+01,-6.378193e-03,-5.958536e+00,5.535323e+04
6.639275e+00,1.358955e-03,-1.074946e+05,1.074946e+05,1.158520e+01,-6.671649e-03,-5.958922e+00,5.543463e+04
6.757834e+00,3.428986e-04,-1.074331e+05,1.074331e+05,1.158462e+01,-6.060784e-03,-5.958961e+00,5.546669e+04
6.876392e+00,7.406602e-03,-1.073185e+05,1.073185e+05,1.158356e+01,-5.476763e-03,-5.958694e+00,5.552346e+04
6.994951e+00,1.732344e-02,-1.072722e+05,1.072722e+05,1.158312e+01,-4.448953e-03,-5.958319e+00,5.554395e+04
7.113509e+00,2.263547e-02,-1.072842e+05,1.072842e+05,1.158324e+01,-3.508096e-03,-5.958119e+00,5.553586e+04
7.232068e+00,1.682492e-02,-1.072837e+05,1.072837e+05,1.158323e+01,-2.702809e-03,-5.958338e+00,5.553816e+04
7.350626e+00,1.043624e-02,-1.071767e+05,1.071767e+05,1.158223e+01,-1.743418e-03,-5.958579e+00,5.559587e+04
7.469185e+00,6.652583e-03,-1.071180e+05,1.071180e+05,1.158169e+01,-1.685387e-03,-5.958722e+00,5.562767e+04
7.587743e+00,6.742975e-03,-1.071296e+05,1.071296e+05,1.158180e+01,-2.533645e-03,-5.958719e+00,5.562157e+04
7.706302e+00,1.319247e-02,-1.071632e+05,1.071632e+05,1.158211e+01,-3.421396e-03,-5.958475e+00,5.560188e+04
7.824860e+00,1.621016e-02,-1.071864e+05,1.071864e+05,1.158233e+01,-4.208939e-03,-5.958361e+00,5.558876e+04
7.943419e+00,1.453164e-02,-1.070961e+05,1.070961e+05,1.158148e+01,-4.372406e-03,-5.958425e+00,5.563623e+04
8.061977e+00,5.148578e-03,-1.069259e+05,1.069259e+05,1.157989e+01,-4.254196e-03,-5.958779e+00,5.572810e+04
