Distance,SEM_norm,I_raw,abs_I,ln_abs_I,deriv_ln_I,Voltage_V,Resistance_Ohm
0.000000e+00,8.999181e-01,1.788162e+05,1.788162e+05,1.209411e+01,2.306526e-03,6.080890e+00,3.400637e+04
1.186041e-01,7.627935e-01,1.790186e+05,1.790186e+05,1.209524e+01,2.597671e-03,6.075644e+00,3.393862e+04
2.372082e-01,8.076291e-01,1.790427e+05,1.790427e+05,1.209538e+01,1.774517e-03,6.077359e+00,3.394362e+04
3.558123e-01,8.306516e-01,1.790620e+05,1.790620e+05,1.209549e+01,1.263144e-03,6.078240e+00,3.394489e+04
4.744164e-01,8.331850e-01,1.790392e+05,1.790392e+05,1.209536e+01,1.341644e-03,6.078337e+00,3.394975e+04
5.930206e-01,8.705726e-01,1.791860e+05,1.791860e+05,1.209618e+01,8.291726e-04,6.079767e+00,3.392992e+04
7.116247e-01,8.867679e-01,1.790573e+05,1.790573e+05,1.209546e+01,8.770125e-04,6.080387e+00,3.395776e+04
8.302288e-01,8.766345e-01,1.790521e+05,1.790521e+05,1.209543e+01,8.728001e-04,6.079999e+00,3.395659e+04
9.488329e-01,8.888588e-01,1.791800e+05,1.791800e+05,1.209615e+01,8.172270e-04,6.080467e+00,3.393496e+04
1.067437e+00,9.242991e-01,1.791802e+05,1.791802e+05,1.209615e+01,5.623093e-04,6.081822e+00,3.394248e+04
1.186041e+00,9.063382e-01,1.791966e+05,1.791966e+05,1.209624e+01,7.573721e-04,6.081135e+00,3.393555e+04
1.304645e+00,9.291183e-01,1.791943e+05,1.791943e+05,1.209623e+01,4.392310e-04,6.082007e+00,3.394084e+04
1.423249e+00,9.239308e-01,1.791917e+05,1.791917e+05,1.209621e+01,4.654474e-04,6.081808e+00,3.394023e+04
1.541853e+00,9.230585e-01,1.791891e+05,1.791891e+05,1.209620e+01,7.718768e-04,6.081775e+00,3.394053e+04
1.660458e+00,9.520492e-01,1.791865e+05,1.791865e+05,1.209618e+01,9.524594e-04,6.082884e+00,3.394721e+04
1.779062e+00,9.278435e-01,1.791840e+05,1.791840e+05,1.209617e+01,1.072613e-03,6.081958e+00,3.394254e+04
1.897666e+00,9.479526e-01,1.793320e+05,1.793320e+05,1.209699e+01,1.074162e-03,6.082727e+00,3.391881e+04
2.016270e+00,9.264793e-01,1.793314e+05,1.793314e+05,1.209699e+01,9.560930e-04,6.081906e+00,3.391435e+04
2.134874e+00,9.740478e-01,1.793288e+05,1.793288e+05,1.209698e+01,1.147534e-03,6.083726e+00,3.392499e+04
2.253478e+00,9.720621e-01,1.793262e+05,1.793262e+05,1.209696e+01,1.116947e-03,6.083650e+00,3.392505e+04
2.372082e+00,9.684900e-01,1.793236e+05,1.793236e+05,1.209695e+01,8.594011e-04,6.083513e+00,3.392478e+04
2.490686e+00,9.701541e-01,1.793210e+05,1.793210e+05,1.209693e+01,1.006546e-03,6.083577e+00,3.392563e+04
2.609290e+00,9.936565e-01,1.794553e+05,1.794553e+05,1.209768e+01,1.040638e-03,6.084476e+00,3.390524e+04
