Distance,SEM_norm,I_raw,abs_I,ln_abs_I,deriv_ln_I
0.000000e+00,1.125423e-01,2.286829e-02,2.286829e-02,-3.778004e+00,-3.163603e+00
7.109390e-02,7.622522e-01,-5.260082e-02,5.260082e-02,-2.945024e+00,-3.617859e+00
1.421878e-01,6.256066e-01,-5.698665e-02,5.698665e-02,-2.864938e+00,-3.005183e+00
2.132817e-01,4.318724e-01,-3.820834e-02,3.820834e-02,-3.264701e+00,-1.613599e+00
2.843756e-01,3.904017e-01,8.714825e-03,8.714825e-03,-4.742730e+00,-1.704831e+00
3.554695e-01,6.194619e-01,1.203566e-02,1.203566e-02,-4.419882e+00,-1.998913e+00
4.265634e-01,6.430934e-01,-1.556231e-02,1.556231e-02,-4.162903e+00,-7.901855e-01
4.976573e-01,5.692577e-01,-3.313573e-02,3.313573e-02,-3.407143e+00,-4.725738e-01
5.687512e-01,4.072487e-01,-1.341097e-02,1.341097e-02,-4.311683e+00,1.431836e+00
6.398451e-01,5.325512e-01,-1.715683e-02,1.715683e-02,-4.065359e+00,1.626053e+00
7.109390e-01,5.998969e-01,-2.799263e-02,2.799263e-02,-3.575814e+00,1.444251e+00
7.820329e-01,6.535556e-01,-8.363221e-03,8.363221e-03,-4.783912e+00,4.296166e-01
8.531268e-01,6.146396e-01,-4.633879e-02,4.633879e-02,-3.071776e+00,1.182536e+00
9.242206e-01,8.850347e-01,-4.979834e-02,4.979834e-02,-2.999774e+00,1.277413e+00
9.953145e-01,9.558815e-01,-3.443837e-02,3.443837e-02,-3.368584e+00,-4.197019e-01
1.066408e+00,8.753846e-01,-1.336491e-02,1.336491e-02,-4.315123e+00,-4.012460e-01
1.137502e+00,6.212113e-01,3.294409e-02,3.294409e-02,-3.412943e+00,-3.431352e+00
1.208596e+00,5.583174e-01,5.051627e-02,5.051627e-02,-2.985460e+00,-2.106929e+00
1.279690e+00,6.858736e-01,7.651868e-03,7.651868e-03,-4.872806e+00,-1.473721e+00
1.350784e+00,8.125117e-01,-2.112922e-02,2.112922e-02,-3.857099e+00,-1.408636e+00
1.421878e+00,6.008096e-01,-3.453698e-03,3.453698e-03,-5.668310e+00,-7.034150e-01
1.492972e+00,6.280578e-01,-3.384811e-02,3.384811e-02,-3.385872e+00,7.654686e-01
1.564066e+00,8.238568e-01,-1.368415e-02,1.368415e-02,-4.291517e+00,1.049787e+00
1.635160e+00,5.132146e-01,-8.571682e-03,8.571682e-03,-4.759291e+00,8.875947e-01
1.706254e+00,6.023390e-01,-3.911895e-02,3.911895e-02,-3.241148e+00,9.039127e-01
1.777347e+00,5.392818e-01,-3.740307e-02,3.740307e-02,-3.286002e+00,3.506246e-01
1.848441e+00,7.500865e-01,-6.397476e-03,6.397476e-03,-5.051852e+00,2.010638e+00
1.919535e+00,7.291307e-01,2.508637e-02,2.508637e-02,-3.685431e+00,1.822207e+00
1.990629e+00,7.330791e-01,1.147189e-02,1.147189e-02,-4.467856e+00,-4.184058e-01
2.061723e+00,5.760905e-01,-5.161393e-02,5.161393e-02,-2.963964e+00,-2.700166e-02
2.132817e+00,8.246875e-01,-6.199879e-02,6.199879e-02,-2.780640e+00,9.493360e-01
2.203911e+00,7.469739e-01,-3.116457e-02,3.116457e-02,-3.468473e+00,-4.548368e+00
2.275005e+00,8.537632e-01,7.700585e-03,7.700585e-03,-4.866459e+00,-3.550279e+00
2.346099e+00,9.578403e-01,-1.860873e-02,1.860873e-02,-3.984124e+00,-2.778730e+00
2.417192e+00,9.473356e-01,-3.050019e-02,3.050019e-02,-3.490022e+00,-2.070921e+00
2.488286e+00,6.981092e-01,-2.644949e-04,2.644949e-04,-8.237689e+00,-4.033354e+00
2.559380e+00,6.338972e-01,-2.203758e-02,2.203758e-02,-3.815006e+00,-2.289331e+00
2.630474e+00,8.163625e-01,4.455850e-02,4.455850e-02,-3.110952e+00,-1.877550e+00
2.701568e+00,6.709676e-01,8.919063e-03,8.919063e-03,-4.719564e+00,-1.864281e+00
2.772662e+00,8.529955e-01,-2.651573e-04,2.651573e-04,-8.235187e+00,3.495879e-01
2.843756e+00,9.194034e-01,-8.342131e-03,8.342131e-03,-4.786437e+00,-9.088001e-01
2.914850e+00,5.708524e-01,-8.319445e-03,8.319445e-03,-4.789160e+00,1.255366e+00
2.985944e+00,9.006849e-01,1.840478e-03,1.840478e-03,-6.297730e+00,3.577205e+00
3.057038e+00,6.162988e-01,5.816710e-03,5.816710e-03,-5.147020e+00,6.200268e+00
3.128131e+00,6.998560e-01,-3.580989e-02,3.580989e-02,-3.329531e+00,2.677043e+00
3.199225e+00,5.384401e-01,1.866687e-02,1.866687e-02,-3.981005e+00,1.815141e+00
3.270319e+00,7.715214e-01,8.787484e-03,8.787484e-03,-4.734427e+00,1.491486e+00
3.341413e+00,6.696743e-01,-6.030722e-02,6.030722e-02,-2.808304e+00,-2.764350e-02
3.412507e+00,6.726791e-01,-1.121601e-02,1.121601e-02,-4.490413e+00,-6.864426e-01
3.483601e+00,7.338492e-01,6.557793e-03,6.557793e-03,-5.027101e+00,6.254862e-01
3.554695e+00,8.433655e-01,1.099988e-02,1.099988e-02,-4.509871e+00,1.019608e+00
3.625789e+00,9.756890e-01,-2.172699e-02,2.172699e-02,-3.829200e+00,9.568304e-02
3.696883e+00,8.951374e-01,-2.392117e-02,2.392117e-02,-3.732991e+00,1.750040e+00
3.767976e+00,8.542102e-01,-2.873197e-02,2.873197e-02,-3.549745e+00,1.188007e+00
3.839070e+00,6.977435e-01,-2.307021e-02,2.307021e-02,-3.769213e+00,-4.934446e-01
3.910164e+00,8.355851e-01,-1.529752e-02,1.529752e-02,-4.180064e+00,-1.637375e+00
3.981258e+00,6.974219e-01,-2.473277e-02,2.473277e-02,-3.699626e+00,-1.690410e+00
4.052352e+00,6.273046e-01,-1.524663e-02,1.524663e-02,-4.183397e+00,-4.598188e+00
4.123446e+00,8.136270e-01,9.759250e-03,9.759250e-03,-4.629540e+00,-2.662011e+00
4.194540e+00,8.495211e-01,-1.001701e-02,1.001701e-02,-4.603470e+00,-3.178720e+00
4.265634e+00,8.551255e-01,1.337500e-02,1.337500e-02,-4.314368e+00,-1.763311e+00
4.336728e+00,8.797472e-01,-5.003298e-04,5.003298e-04,-7.600243e+00,8.079765e-01
4.407822e+00,9.065393e-01,-2.650344e-02,2.650344e-02,-3.630481e+00,2.025545e+00
4.478915e+00,7.648783e-01,2.498394e-03,2.498394e-03,-5.992107e+00,2.339959e+00
4.550009e+00,8.059766e-01,-1.880111e-02,1.880111e-02,-3.973840e+00,3.129928e+00
4.621103e+00,8.785231e-01,-3.724667e-02,3.724667e-02,-3.290193e+00,4.224311e+00
4.692197e+00,6.297288e-01,-1.783240e-02,1.783240e-02,-4.026738e+00,1.276059e+00
4.763291e+00,6.584026e-01,-1.236326e-02,1.236326e-02,-4.393026e+00,1.799506e+00
4.834385e+00,4.579208e-01,-2.108171e-02,2.108171e-02,-3.859350e+00,5.262881e-01
4.905479e+00,4.284672e-01,2.447590e-02,2.447590e-02,-3.710066e+00,-2.710050e+00
4.976573e+00,7.451543e-01,2.321983e-02,2.321983e-02,-3.762748e+00,-2.570530e+00
5.047667e+00,7.910734e-01,-1.719173e-02,1.719173e-02,-4.063327e+00,-2.652452e+00
5.118761e+00,8.352431e-01,-4.347864e-02,4.347864e-02,-3.135486e+00,-1.545692e+00
5.189854e+00,7.900255e-01,8.781863e-04,8.781863e-04,-7.037652e+00,1.705904e-01
5.260948e+00,6.200553e-01,-6.357495e-03,6.357495e-03,-5.058121e+00,7.213625e-01
5.332042e+00,6.840572e-01,-8.102626e-03,8.102626e-03,-4.815567e+00,-9.914614e-01
5.403136e+00,7.512622e-01,3.735473e-02,3.735473e-02,-3.287296e+00,7.889429e-01
5.474230e+00,8.577491e-01,-4.841441e-02,4.841441e-02,-3.027958e+00,1.673313e+00
5.545324e+00,5.492186e-01,-1.426960e-02,1.426960e-02,-4.249624e+00,5.597546e-01
5.616418e+00,7.686140e-01,1.191456e-03,1.191456e-03,-6.732579e+00,2.565311e-01
5.687512e+00,7.562370e-01,-3.424874e-02,3.424874e-02,-3.374105e+00,-1.104586e+00
5.758606e+00,8.317601e-01,4.906765e-03,4.906765e-03,-5.317140e+00,5.261239e-01
5.829699e+00,8.444604e-01,-4.435838e-02,4.435838e-02,-3.115454e+00,3.102355e-02
5.900793e+00,6.273964e-01,-2.363161e-02,2.363161e-02,-3.745170e+00,-9.595800e-01
5.971887e+00,4.946039e-01,-7.841925e-03,7.841925e-03,-4.848271e+00,-3.037418e+00
6.042981e+00,7.233643e-01,2.797967e-02,2.797967e-02,-3.576277e+00,-1.058727e+00
6.114075e+00,8.085185e-01,-1.950486e-03,1.950486e-03,-6.239676e+00,-2.224231e-01
6.185169e+00,6.194078e-01,2.372213e-03,2.372213e-03,-6.043932e+00,2.279954e+00
6.256263e+00,6.882697e-01,1.058569e-02,1.058569e-02,-4.548252e+00,3.839912e+00
6.327357e+00,7.451346e-01,-2.076794e-02,2.076794e-02,-3.874345e+00,3.096114e+00
6.398451e+00,8.781325e-01,-6.149114e-02,6.149114e-02,-2.788862e+00,5.124820e+00
6.469545e+00,8.302494e-01,-4.362231e-02,4.362231e-02,-3.132187e+00,2.855886e+00
6.540638e+00,7.733310e-01,-3.493633e-02,3.493633e-02,-3.354228e+00,8.182865e-01
6.611732e+00,3.875028e-01,1.311025e-02,1.311025e-02,-4.334361e+00,-1.000443e-01
6.682826e+00,7.823820e-01,5.846917e-02,5.846917e-02,-2.839256e+00,-5.642143e-01
6.753920e+00,7.150579e-01,2.006478e-02,2.006478e-02,-3.908789e+00,-3.330631e-01
6.825014e+00,7.664490e-01,3.600667e-02,3.600667e-02,-3.324051e+00,-2.125384e+00
6.896108e+00,6.692328e-01,-3.614983e-02,3.614983e-02,-3.320083e+00,-3.636426e+00
6.967202e+00,9.377596e-01,-3.435168e-02,3.435168e-02,-3.371104e+00,-3.592512e+00
7.038296e+00,7.296522e-01,-2.105429e-02,2.105429e-02,-3.860651e+00,-2.858482e+00
7.109390e+00,7.610153e-01,-2.858979e-03,2.858979e-03,-5.857291e+00,-4.015126e+00
7.180483e+00,8.271603e-01,2.577190e-03,2.577190e-03,-5.961056e+00,-1.096292e+00
7.251577e+00,7.374723e-01,-2.400773e-02,2.400773e-02,-3.729379e+00,8.148985e-01
7.322671e+00,7.560000e-01,-8.995149e-03,8.995149e-03,-4.711070e+00,2.314089e+00
7.393765e+00,6.845429e-01,-2.855991e-03,2.855991e-03,-5.858336e+00,3.196465e+00
7.464859e+00,6.914177e-01,-6.518524e-02,6.518524e-02,-2.730522e+00,1.022247e+00
7.535953e+00,8.379565e-01,-2.568984e-02,2.568984e-02,-3.661660e+00,1.437834e-01
7.607047e+00,3.710312e-01,-1.620172e-02,1.620172e-02,-4.122638e+00,1.442888e+00
7.678141e+00,8.719464e-01,-1.282494e-02,1.282494e-02,-4.356364e+00,1.601038e+00
7.749235e+00,9.336915e-01,-5.278728e-03,5.278728e-03,-5.244070e+00,-7.505078e-01
7.820329e+00,8.403438e-01,-2.789648e-02,2.789648e-02,-3.579255e+00,1.146192e+00
7.891422e+00,9.170447e-01,3.170682e-02,3.170682e-02,-3.451223e+00,-1.579862e+00
7.962516e+00,8.391638e-01,3.434515e-02,3.434515e-02,-3.371294e+00,-1.449664e+00
8.033610e+00,8.152352e-01,-1.386166e-02,1.386166e-02,-4.278629e+00,-9.979285e-02
8.104704e+00,6.602740e-01,-3.826943e-02,3.826943e-02,-3.263104e+00,-1.414243e+00
8.175798e+00,6.866743e-01,-7.754464e-04,7.754464e-04,-7.162072e+00,-5.954829e-01
8.246892e+00,7.047891e-01,-1.209430e-02,1.209430e-02,-4.415021e+00,8.010426e-01
8.317986e+00,7.701058e-01,5.528305e-02,5.528305e-02,-2.895289e+00,2.654137e+00
8.389080e+00,9.452395e-01,1.409913e-02,1.409913e-02,-4.261642e+00,2.761124e+00
8.460174e+00,6.073841e-01,-2.188002e-02,2.188002e-02,-3.822181e+00,3.749093e+00
8.531268e+00,6.884268e-01,-3.249017e-02,3.249017e-02,-3.426818e+00,-9.522614e-01
8.602361e+00,5.573384e-01,-4.813535e-02,4.813535e-02,-3.033739e+00,-1.225193e+00
8.673455e+00,6.232031e-01,-2.529254e-02,2.529254e-02,-3.677246e+00,-8.565112e-01
8.744549e+00,8.535409e-01,2.113511e-02,2.113511e-02,-3.856820e+00,-9.355624e-01
8.815643e+00,9.081754e-01,-5.523843e-03,5.523843e-03,-5.198681e+00,-4.416870e-01
8.886737e+00,8.101444e-01,-3.274059e-02,3.274059e-02,-3.419140e+00,-9.546163e-02
8.957831e+00,7.468009e-01,1.245527e-02,1.245527e-02,-4.385612e+00,-5.832180e-01
9.028925e+00,6.796767e-01,-2.937187e-02,2.937187e-02,-3.527718e+00,-5.620627e-01
9.100019e+00,7.546562e-01,-3.753097e-02,3.753097e-02,-3.282589e+00,5.323092e-01
9.171113e+00,6.254985e-01,-2.238531e-02,2.238531e-02,-3.799350e+00,-2.439649e-01
9.242206e+00,6.484694e-01,5.127189e-03,5.127189e-03,-5.273198e+00,7.754439e-01
9.313300e+00,9.240591e-01,-1.126594e-02,1.126594e-02,-4.485971e+00,-2.763786e+00
9.384394e+00,3.916283e-01,-3.618185e-02,3.618185e-02,-3.319198e+00,-3.502159e+00
9.455488e+00,6.429084e-01,-3.012687e-02,3.012687e-02,-3.502338e+00,-2.125758e+00
