Distance,SEM_norm,I_raw,abs_I,ln_abs_I,deriv_ln_I
0.000000e+00,3.829138e-01,-6.446937e+04,6.446937e+04,1.107395e+01,-2.772773e-03
1.174194e-01,3.197663e-01,-6.445939e+04,6.445939e+04,1.107379e+01,-8.260265e-04
2.348388e-01,2.359516e-01,-6.439040e+04,6.439040e+04,1.107272e+01,8.255926e-05
3.522582e-01,1.914477e-01,-6.439003e+04,6.439003e+04,1.107271e+01,1.131144e-03
4.696776e-01,1.516568e-01,-6.439916e+04,6.439916e+04,1.107286e+01,1.619935e-03
5.870970e-01,1.248051e-01,-6.446183e+04,6.446183e+04,1.107383e+01,3.022449e-03
7.045164e-01,1.132181e-01,-6.447065e+04,6.447065e+04,1.107397e+01,4.182363e-03
8.219358e-01,9.721974e-02,-6.453217e+04,6.453217e+04,1.107492e+01,5.199072e-03
9.393552e-01,9.102052e-02,-6.454068e+04,6.454068e+04,1.107505e+01,4.918756e-03
1.056775e+00,8.040842e-02,-6.460104e+04,6.460104e+04,1.107599e+01,4.301798e-03
1.174194e+00,7.964511e-02,-6.461890e+04,6.461890e+04,1.107626e+01,4.776136e-03
1.291613e+00,7.882639e-02,-6.472912e+04,6.472912e+04,1.107797e+01,4.035275e-03
1.409033e+00,7.483305e-02,-6.466664e+04,6.466664e+04,1.107700e+01,3.875622e-03
1.526452e+00,6.206210e-02,-6.468614e+04,6.468614e+04,1.107730e+01,3.293261e-03
1.643872e+00,7.577528e-02,-6.480384e+04,6.480384e+04,1.107912e+01,3.282551e-03
1.761291e+00,8.120399e-02,-6.473981e+04,6.473981e+04,1.107813e+01,2.962954e-03
1.878710e+00,6.772011e-02,-6.479636e+04,6.479636e+04,1.107900e+01,3.786032e-03
1.996130e+00,6.003131e-02,-6.480363e+04,6.480363e+04,1.107912e+01,3.563018e-03
2.113549e+00,6.152493e-02,-6.485904e+04,6.485904e+04,1.107997e+01,3.448577e-03
2.230969e+00,5.630212e-02,-6.486597e+04,6.486597e+04,1.108008e+01,3.949001e-03
2.348388e+00,6.686021e-02,-6.492025e+04,6.492025e+04,1.108091e+01,3.453880e-03
2.465807e+00,8.074463e-02,-6.492686e+04,6.492686e+04,1.108102e+01,3.655755e-03
2.583227e+00,6.830148e-02,-6.498000e+04,6.498000e+04,1.108183e+01,3.222304e-03
2.700646e+00,6.747004e-02,-6.497635e+04,6.497635e+04,1.108178e+01,2.286226e-03
2.818066e+00,6.384703e-02,-6.498589e+04,6.498589e+04,1.108193e+01,1.533513e-03
2.935485e+00,6.686309e-02,-6.505642e+04,6.505642e+04,1.108301e+01,5.497660e-04
3.052905e+00,6.528825e-02,-6.503965e+04,6.503965e+04,1.108275e+01,-4.684208e-04
3.170324e+00,7.379211e-02,-6.497174e+04,6.497174e+04,1.108171e+01,-9.901682e-04
3.287743e+00,7.119495e-02,-6.501225e+04,6.501225e+04,1.108233e+01,-1.511916e-03
3.405163e+00,6.577181e-02,-6.495446e+04,6.495446e+04,1.108144e+01,-1.889669e-03
3.522582e+00,7.138771e-02,-6.495081e+04,6.495081e+04,1.108139e+01,-1.428931e-03
3.640002e+00,6.963580e-02,-6.494716e+04,6.494716e+04,1.108133e+01,-9.205198e-04
3.757421e+00,7.671096e-02,-6.494351e+04,6.494351e+04,1.108127e+01,-1.039559e-03
3.874840e+00,7.687797e-02,-6.493986e+04,6.493986e+04,1.108122e+01,-1.076941e-03
3.992260e+00,7.350895e-02,-6.493621e+04,6.493621e+04,1.108116e+01,-1.362936e-03
4.109679e+00,7.840666e-02,-6.493256e+04,6.493256e+04,1.108110e+01,-1.185723e-03
4.227099e+00,6.452236e-02,-6.491885e+04,6.491885e+04,1.108089e+01,-1.421241e-03
4.344518e+00,8.124311e-02,-6.486441e+04,6.486441e+04,1.108005e+01,-1.522875e-03
4.461937e+00,6.561727e-02,-6.487120e+04,6.487120e+04,1.108016e+01,-1.491418e-03
4.579357e+00,6.099772e-02,-6.490789e+04,6.490789e+04,1.108072e+01,-1.469004e-03
4.696776e+00,7.242803e-02,-6.485456e+04,6.485456e+04,1.107990e+01,-1.998479e-03
4.814196e+00,7.004455e-02,-6.485128e+04,6.485128e+04,1.107985e+01,-2.503619e-03
4.931615e+00,6.616974e-02,-6.484799e+04,6.484799e+04,1.107980e+01,-3.454750e-03
5.049034e+00,6.273371e-02,-6.482857e+04,6.482857e+04,1.107950e+01,-3.813863e-03
5.166454e+00,6.427788e-02,-6.474327e+04,6.474327e+04,1.107819e+01,-2.811913e-03
5.283873e+00,5.906651e-02,-6.471589e+04,6.471589e+04,1.107776e+01,-2.505105e-03
5.401293e+00,5.645263e-02,-6.468226e+04,6.468226e+04,1.107724e+01,-1.944436e-03
5.518712e+00,5.648398e-02,-6.469578e+04,6.469578e+04,1.107745e+01,-1.131495e-03
5.636131e+00,6.927651e-02,-6.476138e+04,6.476138e+04,1.107846e+01,-2.445476e-04
5.753551e+00,7.411937e-02,-6.471206e+04,6.471206e+04,1.107770e+01,-1.303695e-04
5.870970e+00,6.211909e-02,-6.470951e+04,6.470951e+04,1.107766e+01,-7.755262e-04
5.988390e+00,6.013717e-02,-6.470695e+04,6.470695e+04,1.107762e+01,-2.159448e-03
6.105809e+00,6.625297e-02,-6.470440e+04,6.470440e+04,1.107758e+01,-2.695335e-03
6.223228e+00,7.241736e-02,-6.469180e+04,6.469180e+04,1.107739e+01,-3.528078e-03
6.340648e+00,5.855396e-02,-6.462666e+04,6.462666e+04,1.107638e+01,-4.673178e-03
6.458067e+00,5.935249e-02,-6.456230e+04,6.456230e+04,1.107539e+01,-5.330531e-03
6.575487e+00,5.747987e-02,-6.461193e+04,6.461193e+04,1.107615e+01,-5.598519e-03
6.692906e+00,6.479598e-02,-6.447548e+04,6.447548e+04,1.107404e+01,-4.580623e-03
6.810325e+00,3.643316e-02,-6.443011e+04,6.443011e+04,1.107334e+01,-3.620782e-03
6.927745e+00,5.391221e-02,-6.441831e+04,6.441831e+04,1.107315e+01,-3.231461e-03
7.045164e+00,5.993373e-02,-6.439303e+04,6.439303e+04,1.107276e+01,-3.249666e-03
7.162584e+00,7.110314e-02,-6.446380e+04,6.446380e+04,1.107386e+01,-1.854803e-03
7.280003e+00,6.947529e-02,-6.441287e+04,6.441287e+04,1.107307e+01,-1.433383e-03
7.397422e+00,6.956648e-02,-6.435970e+04,6.435970e+04,1.107224e+01,-1.281553e-03
7.514842e+00,7.430159e-02,-6.432708e+04,6.432708e+04,1.107174e+01,-1.213212e-03
7.632261e+00,8.674108e-02,-6.436671e+04,6.436671e+04,1.107235e+01,-1.551697e-03
7.749681e+00,8.678317e-02,-6.436525e+04,6.436525e+04,1.107233e+01,-7.913563e-04
7.867100e+00,7.905485e-02,-6.436379e+04,6.436379e+04,1.107231e+01,-1.014005e-03
7.984520e+00,7.676850e-02,-6.435249e+04,6.435249e+04,1.107213e+01,-1.494255e-03
8.101939e+00,6.466224e-02,-6.432151e+04,6.432151e+04,1.107165e+01,-2.121496e-03
8.219358e+00,6.412678e-02,-6.433982e+04,6.433982e+04,1.107193e+01,-2.169146e-03
8.336778e+00,7.085721e-02,-6.426107e+04,6.426107e+04,1.107071e+01,-2.001355e-03
8.454197e+00,6.273929e-02,-6.426034e+04,6.426034e+04,1.107070e+01,-1.705034e-03
8.571617e+00,7.236679e-02,-6.425961e+04,6.425961e+04,1.107069e+01,-1.607131e-03
8.689036e+00,5.979036e-02,-6.425888e+04,6.425888e+04,1.107068e+01,-1.540525e-03
8.806455e+00,6.227535e-02,-6.425815e+04,6.425815e+04,1.107066e+01,-1.029040e-03
8.923875e+00,6.473620e-02,-6.424777e+04,6.424777e+04,1.107050e+01,-1.102670e-03
9.041294e+00,6.936730e-02,-6.421044e+04,6.421044e+04,1.106992e+01,-1.073289e-03
9.158714e+00,7.061629e-02,-6.421007e+04,6.421007e+04,1.106992e+01,-8.578388e-04
9.276133e+00,7.174175e-02,-6.420971e+04,6.420971e+04,1.106991e+01,-1.341194e-04
